iter	Passed	Remaining
0	26	26164
1	52	26437
2	87	29216
3	130	32597
4	163	32597
5	194	32190
6	227	32243
7	264	32797
8	296	32661
9	316	31286
10	344	30991
11	375	30936
12	408	30979
13	436	30770
14	465	30554
15	493	30365
16	521	30154
17	550	30007
18	584	30164
19	619	30367
20	649	30257
21	682	30359
22	712	30260
23	750	30506
24	769	30006
25	802	30060
26	831	29965
27	860	29873
28	873	29243
29	903	29207
30	933	29166
31	963	29139
32	997	29243
33	1031	29310
34	1062	29294
35	1090	29208
36	1122	29214
37	1153	29201
38	1182	29141
39	1214	29156
40	1251	29281
41	1290	29442
42	1331	29630
43	1365	29662
44	1396	29632
45	1428	29633
46	1467	29751
47	1499	29744
48	1529	29675
49	1557	29601
50	1590	29603
51	1627	29668
52	1666	29777
53	1701	29810
54	1734	29805
55	1768	29804
56	1804	29845
57	1835	29807
58	1865	29747
59	1894	29676
60	1925	29635
61	1963	29699
62	2003	29791
63	2039	29822
64	2079	29916
65	2114	29921
66	2154	29997
67	2192	30054
68	2223	29998
69	2251	29918
70	2298	30075
71	2330	30043
72	2362	29996
73	2395	29975
74	2424	29908
75	2458	29887
76	2496	29919
77	2527	29882
78	2562	29868
79	2575	29621
80	2610	29616
81	2631	29456
82	2664	29441
83	2693	29371
84	2723	29316
85	2753	29258
86	2782	29196
87	2814	29167
88	2849	29164
89	2879	29110
90	2908	29054
91	2937	28993
92	2965	28919
93	2999	28908
94	3032	28887
95	3062	28834
96	3088	28752
97	3119	28711
98	3146	28633
99	3173	28558
100	3201	28500
101	3233	28465
102	3264	28431
103	3292	28367
104	3322	28320
105	3354	28289
106	3381	28223
107	3411	28175
108	3434	28078
109	3467	28052
110	3495	27996
111	3523	27940
112	3551	27874
113	3578	27808
114	3607	27759
115	3643	27766
116	3675	27741
117	3704	27689
118	3734	27649
119	3750	27501
120	3780	27461
121	3808	27405
122	3835	27345
123	3864	27301
124	3902	27317
125	3939	27322
126	3971	27298
127	3999	27243
128	4031	27220
129	4069	27235
130	4107	27246
131	4148	27281
132	4187	27298
133	4229	27337
134	4263	27320
135	4298	27308
136	4334	27301
137	4370	27302
138	4403	27275
139	4432	27229
140	4445	27082
141	4456	26928
142	4485	26882
143	4498	26739
144	4528	26703
145	4563	26690
146	4585	26610
147	4602	26494
148	4635	26474
149	4665	26438
150	4695	26397
151	4724	26360
152	4756	26333
153	4790	26315
154	4820	26279
155	4848	26232
156	4876	26184
157	4904	26134
158	4932	26088
159	4960	26042
160	4997	26040
161	5034	26041
162	5063	26002
163	5090	25951
164	5119	25906
165	5147	25863
166	5174	25811
167	5205	25778
168	5239	25765
169	5271	25738
170	5300	25696
171	5312	25573
172	5340	25530
173	5369	25490
174	5398	25449
175	5426	25405
176	5459	25386
177	5495	25379
178	5524	25337
179	5552	25293
180	5580	25250
181	5607	25201
182	5645	25202
183	5679	25187
184	5692	25076
185	5727	25066
186	5760	25043
187	5792	25020
188	5820	24975
189	5853	24953
190	5887	24937
191	5922	24923
192	5950	24879
193	5976	24832
194	6005	24790
195	6032	24746
196	6062	24709
197	6098	24703
198	6127	24664
199	6136	24544
200	6162	24498
201	6191	24459
202	6221	24425
203	6249	24383
204	6289	24391
205	6325	24382
206	6366	24390
207	6403	24383
208	6440	24376
209	6480	24380
210	6516	24365
211	6551	24350
212	6561	24242
213	6594	24219
214	6630	24210
215	6667	24198
216	6705	24193
217	6739	24176
218	6776	24164
219	6809	24141
220	6846	24132
221	6885	24129
222	6919	24109
223	6950	24079
224	6989	24074
225	7008	24001
226	7040	23975
227	7074	23955
228	7113	23951
229	7146	23924
230	7178	23896
231	7210	23870
232	7246	23854
233	7280	23832
234	7315	23815
235	7331	23734
236	7367	23718
237	7403	23704
238	7439	23689
239	7478	23681
240	7507	23643
241	7533	23595
242	7559	23550
243	7587	23509
244	7621	23488
245	7655	23463
246	7688	23438
247	7716	23398
248	7744	23358
249	7772	23316
250	7799	23273
251	7827	23235
252	7858	23201
253	7894	23186
254	7925	23154
255	7953	23115
256	7982	23078
257	8013	23047
258	8042	23009
259	8078	22992
260	8114	22975
261	8145	22945
262	8176	22912
263	8204	22873
264	8211	22776
265	8240	22738
266	8268	22700
267	8296	22659
268	8332	22643
269	8372	22635
270	8401	22601
271	8431	22566
272	8459	22528
273	8488	22492
274	8522	22468
275	8562	22461
276	8597	22439
277	8627	22407
278	8656	22369
279	8683	22330
280	8713	22294
281	8751	22281
282	8786	22260
283	8819	22234
284	8851	22206
285	8883	22178
286	8914	22146
287	8927	22071
288	8948	22015
289	8984	21996
290	9020	21978
291	9051	21945
292	9074	21896
293	9104	21862
294	9133	21828
295	9163	21793
296	9191	21755
297	9226	21735
298	9257	21704
299	9285	21666
300	9313	21628
301	9343	21594
302	9371	21557
303	9400	21522
304	9433	21496
305	9467	21473
306	9497	21438
307	9525	21400
308	9551	21358
309	9578	21320
310	9615	21302
311	9646	21272
312	9680	21247
313	9713	21220
314	9743	21188
315	9772	21152
316	9800	21115
317	9830	21081
318	9863	21056
319	9894	21026
320	9925	20995
321	9955	20961
322	9985	20929
323	10015	20895
324	10047	20867
325	10084	20849
326	10120	20828
327	10151	20798
328	10184	20771
329	10214	20738
330	10243	20704
331	10271	20666
332	10306	20643
333	10341	20621
334	10376	20597
335	10408	20569
336	10440	20540
337	10472	20511
338	10507	20487
339	10544	20469
340	10587	20460
341	10618	20428
342	10648	20397
343	10683	20372
344	10721	20355
345	10761	20340
346	10798	20321
347	10838	20306
348	10872	20280
349	10903	20248
350	10934	20217
351	10966	20188
352	10998	20159
353	11030	20128
354	11067	20108
355	11095	20071
356	11123	20035
357	11155	20005
358	11188	19976
359	11220	19948
360	11249	19913
361	11280	19880
362	11308	19844
363	11336	19808
364	11364	19771
365	11395	19740
366	11430	19715
367	11459	19680
368	11488	19645
369	11517	19610
370	11545	19574
371	11579	19548
372	11608	19514
373	11650	19500
374	11684	19474
375	11715	19442
376	11743	19406
377	11772	19371
378	11799	19333
379	11832	19305
380	11862	19272
381	11894	19243
382	11923	19207
383	11957	19181
384	12002	19172
385	12042	19154
386	12079	19133
387	12124	19123
388	12163	19105
389	12199	19081
390	12235	19057
391	12276	19041
392	12321	19030
393	12357	19006
394	12394	18984
395	12426	18953
396	12454	18916
397	12482	18879
398	12515	18851
399	12549	18824
400	12586	18800
401	12615	18765
402	12643	18729
403	12671	18693
404	12700	18658
405	12731	18627
406	12763	18595
407	12794	18564
408	12822	18528
409	12851	18494
410	12879	18457
411	12907	18421
412	12935	18385
413	12966	18353
414	13001	18327
415	13031	18294
416	13061	18260
417	13089	18224
418	13118	18190
419	13146	18155
420	13176	18122
421	13207	18089
422	13241	18062
423	13270	18027
424	13299	17993
425	13327	17957
426	13355	17921
427	13383	17885
428	13416	17857
429	13451	17830
430	13480	17797
431	13509	17762
432	13537	17727
433	13570	17698
434	13597	17661
435	13626	17626
436	13655	17592
437	13690	17565
438	13718	17531
439	13747	17496
440	13775	17461
441	13803	17426
442	13831	17390
443	13859	17355
444	13893	17328
445	13925	17298
446	13955	17265
447	13984	17230
448	14012	17195
449	14044	17165
450	14072	17129
451	14101	17095
452	14134	17067
453	14169	17040
454	14197	17005
455	14226	16971
456	14253	16935
