iter	Logloss
0	0.6928530019
1	0.6926180496
2	0.6922085323
3	0.6920535128
4	0.6916769517
5	0.6913309901
6	0.6909906907
7	0.6905968236
8	0.6902067475
9	0.6901493417
10	0.6899020029
11	0.6896698907
12	0.6894372104
13	0.6891056718
14	0.6888330516
15	0.6884058503
16	0.6880326503
17	0.687535714
18	0.6873279381
19	0.687135367
20	0.687047184
21	0.6868563454
22	0.6864786637
23	0.6862988768
24	0.6862809198
25	0.6861507251
26	0.6859769853
27	0.6858215377
28	0.685805758
29	0.6856135275
30	0.6855022003
31	0.6850710349
32	0.6846501814
33	0.6843253789
34	0.6840776298
35	0.6836671492
36	0.6832091764
37	0.682859479
38	0.6826400893
39	0.6822036006
40	0.6820213423
41	0.6817867655
42	0.6814158891
43	0.6812784601
44	0.6810949787
45	0.6808175094
46	0.6802921653
47	0.6801791589
48	0.6799503703
49	0.6795790333
50	0.6793811241
51	0.6790588716
52	0.6787112887
53	0.6785683879
54	0.6783581965
55	0.6779539363
56	0.6776191464
57	0.6773969079
58	0.6772333619
59	0.6770507788
60	0.6768329548
61	0.6766389744
62	0.6764078367
63	0.6762666353
64	0.6758659431
65	0.6756780457
66	0.6754444682
67	0.6750327578
68	0.6748812779
69	0.6746501813
70	0.6744904394
71	0.6743267941
72	0.6742272349
73	0.6740608165
74	0.6737682683
75	0.6736630207
76	0.6734827301
77	0.6731045709
78	0.6728614977
79	0.6728530929
80	0.6726263807
81	0.6725665673
82	0.6722714876
83	0.6721684533
84	0.6718422372
85	0.6714584172
86	0.6712846401
87	0.6710036252
88	0.6707294685
89	0.6706379256
90	0.6703106487
91	0.6698376241
92	0.6696218384
93	0.6693221907
94	0.6691071724
95	0.6688631268
96	0.6687404111
97	0.6685285388
98	0.6684175688
99	0.6681638915
100	0.6680332126
101	0.6679301984
102	0.667873594
103	0.6678016047
104	0.6676616742
105	0.6673668707
106	0.6672222203
107	0.6668573276
108	0.6668401191
109	0.6666304119
110	0.6663775235
111	0.6661187933
112	0.6660233253
113	0.6659429564
114	0.6657211123
115	0.6654851878
116	0.6651704194
117	0.6650192154
118	0.6648836811
119	0.6648615667
120	0.664310413
121	0.6640296886
122	0.6639077978
123	0.6638011799
124	0.6635863957
125	0.6632222172
126	0.6629793097
127	0.6626790296
128	0.6624488236
129	0.6620496633
130	0.6615557344
131	0.6611958488
132	0.6610265504
133	0.6609141177
134	0.6607448793
135	0.660478506
136	0.6603199194
137	0.660004878
138	0.6598820686
139	0.6595319603
140	0.6595260123
141	0.6595228803
142	0.6592797689
143	0.6592717507
144	0.6589231545
145	0.6588786636
146	0.6588573632
147	0.6588237966
148	0.6586132868
149	0.658442229
150	0.6581545197
151	0.6579265429
152	0.6578558527
153	0.6574601485
154	0.6572851637
155	0.657059183
156	0.6569057995
157	0.6564837309
158	0.6561389169
159	0.655860031
160	0.6555655925
161	0.6551547006
162	0.6548698732
163	0.6547439722
164	0.6546139554
165	0.6541898021
166	0.6539934394
167	0.6537674937
168	0.6535542126
169	0.6533305093
170	0.6530177435
171	0.6530142196
172	0.6528340619
173	0.6526766964
174	0.6523768774
175	0.6523295479
176	0.6521352271
177	0.6519546685
178	0.6517932904
179	0.6516327536
180	0.6512856054
181	0.6510712211
182	0.650815549
183	0.6506876677
184	0.6506777049
185	0.6504651462
186	0.6502391625
187	0.649832687
188	0.6496343762
189	0.6494286958
190	0.6491738586
191	0.6490100346
192	0.6487333317
193	0.648472285
194	0.6482844292
195	0.6481638161
196	0.6480426511
197	0.6477922005
198	0.6477105876
199	0.6477105875
200	0.647679334
201	0.647550937
202	0.6472550169
203	0.6467771986
204	0.6465492525
205	0.6463654966
206	0.6460478279
207	0.6457264378
208	0.645646201
209	0.6455004715
210	0.6452639432
211	0.6450321734
212	0.6450321729
213	0.644832716
214	0.6444410634
215	0.6441617897
216	0.6439937476
217	0.6437068932
218	0.6435828705
219	0.643488083
220	0.6433944885
221	0.6431275661
222	0.6428815851
223	0.64266238
224	0.6424279691
225	0.6424279306
226	0.6422694261
227	0.6419874208
228	0.6416415062
229	0.6414927715
230	0.6412903784
231	0.6411643975
232	0.6408566385
233	0.6408227821
234	0.6406562137
235	0.6406446957
236	0.6404757447
237	0.640181806
238	0.6400976245
239	0.6398539089
240	0.639600803
241	0.639512461
242	0.6392875305
243	0.6390563313
244	0.6389705179
245	0.6387735854
246	0.6385432364
247	0.6383373585
248	0.6379945787
249	0.6379364903
250	0.6377819773
251	0.6374684489
252	0.637252571
253	0.636809439
254	0.6365122672
255	0.6363203903
256	0.6360327672
257	0.6358523414
258	0.6356478252
259	0.6353681213
260	0.6352460873
261	0.6348790612
262	0.6345024725
263	0.6342834459
264	0.6342834456
265	0.6339718335
266	0.633658171
267	0.6335096281
268	0.6332213869
269	0.6328412765
270	0.6327332214
271	0.6324279323
272	0.632257524
273	0.6319837023
274	0.6318006433
275	0.6315710201
276	0.6312320961
277	0.6310215328
278	0.630827314
279	0.6305428676
280	0.6304111198
281	0.6301424983
282	0.6298447117
283	0.6294054217
284	0.6291004643
285	0.629014819
286	0.62880715
287	0.6287908445
288	0.6287747326
289	0.6285732345
290	0.6283352218
291	0.6280911176
292	0.6280476074
293	0.6276822241
294	0.6273950509
295	0.6271752163
296	0.6269774654
297	0.6265753803
298	0.6264115063
299	0.6262575955
300	0.6259804061
301	0.6256517416
302	0.6255584493
303	0.625340783
304	0.6249574484
305	0.6246661881
306	0.6243755497
307	0.6240704152
308	0.6238645202
309	0.6237219211
310	0.6234586437
311	0.6230689124
312	0.6229657255
313	0.6227615114
314	0.622511314
315	0.6224146499
316	0.6222535491
317	0.6220314767
318	0.6218838412
319	0.6216420209
320	0.6213979423
321	0.6211599243
322	0.6208142147
323	0.6205591719
324	0.6201295354
325	0.6198017063
326	0.6195868256
327	0.6195038483
328	0.6192718299
329	0.6190500177
330	0.618780436
331	0.6185221232
332	0.6182873007
333	0.6180647527
334	0.6178137304
335	0.6176182386
336	0.6173463411
337	0.6169918974
338	0.6165963112
339	0.616220617
340	0.6159191967
341	0.6155029935
342	0.6151748903
343	0.6148976728
344	0.6146682758
345	0.6143728826
346	0.6141548075
347	0.6140001699
348	0.6136933534
349	0.6134912933
350	0.613313456
351	0.6129056574
352	0.612472108
353	0.6121535088
354	0.6118235814
355	0.6116256523
356	0.611253624
357	0.6110649755
358	0.6106140423
359	0.6102297533
360	0.609883352
361	0.6095634276
362	0.6091817829
363	0.6090412333
364	0.6087062659
365	0.6083885497
366	0.6080463367
367	0.6076586609
368	0.6072305864
369	0.6067958143
370	0.6065479113
371	0.6062329227
372	0.6059401044
373	0.6055362785
374	0.6051541164
375	0.6049297386
376	0.6045527682
377	0.6041124381
378	0.603819339
379	0.6034175278
380	0.6030634236
381	0.60274742
382	0.6024474051
383	0.6020830973
384	0.6016831502
385	0.601372745
386	0.6010562733
387	0.6006371015
388	0.6003280956
389	0.6001828796
390	0.5997985851
391	0.5995544856
392	0.5992752519
393	0.5988884625
394	0.5985271325
395	0.5981505349
396	0.5979362179
397	0.5976276328
398	0.5973047903
399	0.5969833049
400	0.5965653337
401	0.5961789329
402	0.5958736142
403	0.5956599906
404	0.5952710577
405	0.5950507156
406	0.594771245
407	0.5944646137
408	0.5941665983
409	0.5937332009
410	0.5935477808
411	0.5931829408
412	0.5928222324
413	0.5926597473
414	0.5924806681
415	0.5921924606
416	0.5918791205
417	0.5916844253
418	0.59131388
419	0.5909550731
420	0.5906310791
421	0.5902931928
422	0.5900936107
423	0.5897131375
424	0.5893994299
425	0.5891502393
426	0.5888587867
427	0.5883695751
428	0.5881366779
429	0.5878838279
430	0.5877838884
431	0.5875085805
432	0.5872814766
433	0.5871312165
434	0.5869382799
435	0.5866284397
436	0.5864648288
437	0.5860512478
438	0.5857926682
439	0.5854943168
440	0.5851523949
441	0.5848951733
442	0.5845255311
443	0.5842850696
444	0.5838756641
445	0.5835869542
446	0.5834203053
447	0.5830838631
448	0.5828786521
449	0.5826287187
450	0.582218607
451	0.581951492
452	0.5817275985
453	0.5813775812
454	0.5809722195
455	0.5806806138
456	0.5804727342
457	0.5801663483
458	0.5797559977
459	0.579409076
460	0.5791375018
461	0.578881706
462	0.5785693979
463	0.5784278034
464	0.5781328895
465	0.5778175515
466	0.5775497725
467	0.5772848256
468	0.5771432513
469	0.5770760145
470	0.5768075015
471	0.5765765488
472	0.5762537848
473	0.5759696217
474	0.5756682039
475	0.5754155228
476	0.5751516595
477	0.5748091235
478	0.5744564656
479	0.5742746967
480	0.5740711407
481	0.5736939083
482	0.5735100469
483	0.5732450716
484	0.572953887
485	0.572619941
486	0.5722806074
487	0.5720785748
488	0.5718238086
489	0.5713897006
490	0.5713054258
491	0.5709550185
492	0.5707571169
493	0.5703976506
494	0.5702747802
495	0.5699402971
496	0.569537872
497	0.5692680319
498	0.568984842
499	0.5686966927
500	0.5685593138
501	0.5683909642
502	0.5681669997
503	0.5680681351
504	0.5679426499
505	0.5676465832
506	0.5672852399
507	0.5670144442
508	0.5667411903
509	0.5664222677
510	0.5659778016
511	0.5656441374
512	0.565305109
513	0.5651028173
514	0.5647636375
515	0.5644855509
516	0.564122079
517	0.5639000121
518	0.5637973048
519	0.5635490796
520	0.5632288105
521	0.5629708234
522	0.5627955651
523	0.5626246722
524	0.5622999545
525	0.562068185
526	0.5617732502
527	0.5614376552
528	0.5609754894
529	0.5607104715
530	0.5605053534
531	0.5603396418
532	0.5600254504
533	0.5597681159
534	0.5596133793
535	0.5593864018
536	0.5591620624
537	0.5589025965
538	0.5585928586
539	0.5583489371
540	0.5579765383
541	0.5576287162
542	0.5574179505
543	0.5571689005
544	0.5568036892
545	0.556607785
546	0.5564227737
547	0.5562315979
548	0.5560825245
549	0.5557241039
550	0.5555573657
551	0.5553077419
552	0.5550653228
553	0.5547174768
554	0.5544807468
555	0.5542301821
556	0.55385603
557	0.553558665
558	0.5532862551
559	0.5530002206
560	0.5527905733
561	0.552625382
562	0.552384206
563	0.5521363414
564	0.5518729698
565	0.551485381
566	0.5511415868
567	0.5509819793
568	0.5505755407
569	0.5502743
570	0.5499499444
571	0.5496510142
572	0.5492993246
573	0.5491214541
574	0.548970614
575	0.5487717488
576	0.5484409672
577	0.5481220312
578	0.5477114254
579	0.5475055789
580	0.5471998197
581	0.5468270126
582	0.5465761424
583	0.5463065214
584	0.5460148505
585	0.5459439744
586	0.5455974337
587	0.5452256714
588	0.5449123895
589	0.544506998
590	0.54432447
591	0.544094227
592	0.5438761281
593	0.5436722577
594	0.5433897162
595	0.5431518329
596	0.5428476738
597	0.5424894768
598	0.542292757
599	0.5419513901
600	0.5418334164
601	0.5416109548
602	0.5413867549
603	0.5411499987
604	0.5408859192
605	0.5406333108
606	0.5404722381
607	0.5402203129
608	0.5399068436
609	0.5397696398
610	0.539634217
611	0.5395166347
612	0.5393971053
613	0.5391787184
614	0.5388913434
615	0.538641323
616	0.5384298584
617	0.538347309
618	0.5381201141
619	0.5378550553
620	0.5375331734
621	0.537301678
622	0.5371088923
623	0.5367658893
624	0.5365745092
625	0.5363990445
626	0.5361136642
627	0.5359623219
628	0.5357882388
629	0.5355075844
630	0.5353292814
631	0.5350871006
632	0.534792904
633	0.5345626166
634	0.5343438904
635	0.5340650123
636	0.5337476747
637	0.533513301
638	0.5333300049
639	0.5332131814
640	0.532996567
641	0.5328641765
642	0.5325685844
643	0.5323562622
644	0.5321484784
645	0.5318649202
646	0.5317054742
647	0.5315605264
648	0.5313257971
649	0.5310834777
650	0.5308457749
651	0.5307085916
652	0.5304564708
653	0.5303586837
654	0.5301158448
655	0.5299744212
656	0.5296839247
657	0.5295060154
658	0.5291561285
659	0.5289756134
660	0.5287373998
661	0.5284713519
662	0.5283478793
663	0.5281449176
664	0.5278571197
665	0.5277635987
666	0.5275579383
667	0.5274039962
668	0.5270550571
669	0.5268790824
670	0.5266321585
671	0.5263252654
672	0.5260524265
673	0.5256555392
674	0.525512091
675	0.5252667053
676	0.5249241807
677	0.524584552
678	0.5243287251
