iter	Passed	Remaining
0	29	29762
1	65	32867
2	97	32371
3	131	32803
4	169	33765
5	203	33729
6	234	33329
7	274	34042
8	308	33981
9	340	33699
10	376	33829
11	407	33539
12	446	33878
13	482	33960
14	516	33925
15	549	33787
16	582	33671
17	621	33889
18	654	33800
19	691	33860
20	725	33832
21	761	33832
22	793	33722
23	832	33839
24	867	33820
25	883	33113
26	913	32928
27	945	32824
28	980	32832
29	1018	32932
30	1054	32971
31	1090	32997
32	1123	32928
33	1160	32970
34	1195	32959
35	1231	32969
36	1268	33021
37	1303	33001
38	1333	32847
39	1373	32969
40	1405	32874
41	1417	32328
42	1451	32295
43	1487	32318
44	1521	32293
45	1555	32269
46	1588	32219
47	1622	32172
48	1661	32247
49	1696	32228
50	1729	32180
51	1763	32155
52	1793	32053
53	1826	31994
54	1860	31965
55	1897	31985
56	1933	31993
57	1969	31992
58	2002	31941
59	2036	31911
60	2071	31889
61	2101	31798
62	2137	31788
63	2173	31781
64	2211	31807
65	2245	31770
66	2281	31767
67	2317	31757
68	2347	31678
69	2382	31658
70	2417	31635
71	2463	31752
72	2504	31805
73	2550	31914
74	2598	32044
75	2644	32148
76	2691	32262
77	2714	32088
78	2752	32093
79	2792	32109
80	2828	32093
81	2862	32048
82	2901	32060
83	2939	32053
84	2974	32021
85	3007	31964
86	3040	31912
87	3079	31911
88	3124	31981
89	3180	32159
90	3229	32261
91	3273	32308
92	3320	32387
93	3358	32374
94	3397	32362
95	3443	32426
96	3486	32455
97	3530	32493
98	3572	32513
99	3609	32488
100	3650	32494
101	3684	32436
102	3714	32344
103	3750	32312
104	3786	32277
105	3822	32235
106	3857	32191
107	3887	32106
108	3922	32060
109	3943	31904
110	3980	31878
111	4022	31893
112	4053	31818
113	4095	31827
114	4134	31815
115	4143	31572
116	4185	31587
117	4225	31586
118	4266	31589
119	4289	31457
120	4330	31457
121	4368	31442
122	4409	31440
123	4450	31437
124	4490	31432
125	4531	31430
126	4567	31398
127	4598	31324
128	4627	31245
129	4663	31207
130	4698	31167
131	4729	31099
132	4751	30971
133	4772	30843
134	4808	30811
135	4840	30751
136	4869	30674
137	4900	30608
138	4935	30574
139	4974	30554
140	5009	30517
141	5044	30479
142	5078	30433
143	5114	30402
144	5157	30414
145	5196	30397
146	5233	30370
147	5266	30316
148	5301	30281
149	5337	30247
150	5372	30206
151	5407	30165
152	5438	30109
153	5470	30052
154	5508	30028
155	5544	29995
156	5574	29931
157	5607	29880
158	5637	29820
159	5675	29793
160	5709	29751
161	5740	29692
162	5774	29652
163	5809	29614
164	5818	29445
165	5853	29410
166	5887	29368
167	5920	29322
168	5954	29279
169	5992	29256
170	6030	29236
171	6066	29205
172	6101	29165
173	6130	29101
174	6161	29046
175	6193	28994
176	6219	28920
177	6256	28894
178	6293	28867
179	6330	28840
180	6363	28794
181	6398	28756
182	6433	28723
183	6467	28683
184	6500	28638
185	6539	28619
186	6574	28582
187	6611	28554
188	6645	28515
189	6676	28461
190	6708	28413
191	6742	28375
192	6775	28332
193	6810	28295
194	6846	28261
195	6880	28225
196	6916	28190
197	6952	28160
198	6987	28124
199	7023	28092
200	7038	27977
201	7072	27941
202	7111	27918
203	7146	27886
204	7180	27848
205	7214	27807
206	7247	27766
207	7281	27726
208	7315	27685
209	7348	27643
