iter	Passed	Remaining
402	12077	17891
403	12106	17860
404	12135	17828
405	12165	17798
406	12193	17766
407	12225	17738
408	12255	17708
409	12285	17678
410	12314	17647
411	12342	17615
412	12372	17585
413	12401	17553
414	12430	17522
415	12470	17506
416	12501	17478
417	12533	17450
418	12566	17425
419	12594	17392
420	12623	17361
421	12656	17334
422	12688	17307
423	12717	17276
424	12746	17245
425	12775	17213
426	12803	17181
427	12833	17150
428	12864	17122
429	12901	17102
430	12936	17077
431	12972	17056
432	13003	17027
433	13032	16995
434	13060	16963
435	13093	16937
436	13125	16910
437	13152	16876
438	13180	16843
439	13210	16813
440	13239	16782
441	13268	16751
442	13298	16721
443	13332	16695
444	13363	16667
445	13393	16636
446	13423	16606
447	13455	16579
448	13485	16549
449	13517	16520
450	13580	16530
451	13673	16577
452	13765	16622
453	13823	16625
454	13910	16662
455	13976	16673
456	14051	16696
457	14122	16713
458	14161	16691
459	14200	16669
460	14262	16675
461	14317	16673
462	14364	16660
463	14407	16643
464	14447	16622
465	14477	16590
466	14507	16558
467	14535	16523
468	14565	16490
469	14594	16457
470	14623	16423
471	14651	16390
472	14689	16366
473	14724	16339
474	14763	16317
475	14793	16285
476	14822	16251
477	14850	16217
478	14885	16190
479	14924	16168
480	14961	16143
481	14990	16109
482	15019	16076
483	15048	16043
484	15077	16010
485	15105	15975
486	15133	15941
487	15166	15912
488	15198	15881
489	15226	15848
490	15257	15816
491	15287	15784
492	15315	15750
493	15344	15716
494	15374	15685
495	15407	15655
496	15437	15624
497	15467	15592
498	15496	15558
499	15524	15524
500	15553	15491
501	15583	15459
502	15618	15432
503	15647	15399
504	15677	15367
505	15705	15333
506	15735	15300
507	15765	15269
508	15793	15235
509	15822	15202
510	15857	15174
511	15886	15142
512	15920	15113
513	15949	15080
514	15977	15046
515	16007	15015
516	16036	14981
517	16064	14948
518	16098	14920
519	16128	14887
520	16156	14854
521	16185	14821
522	16212	14786
523	16241	14753
524	16270	14720
525	16299	14688
526	16331	14658
527	16363	14627
528	16391	14594
529	16420	14561
530	16447	14526
531	16479	14496
532	16509	14465
533	16536	14430
534	16571	14402
535	16600	14370
536	16629	14337
537	16659	14306
538	16687	14272
539	16716	14239
540	16743	14205
541	16773	14173
542	16803	14142
543	16832	14110
544	16866	14081
545	16901	14053
546	16931	14021
547	16964	13992
548	16996	13962
549	17033	13936
550	17061	13903
551	17091	13870
552	17122	13840
553	17153	13809
554	17181	13776
555	17214	13746
556	17247	13717
557	17276	13685
558	17306	13653
559	17335	13620
560	17363	13587
561	17391	13554
562	17420	13521
563	17455	13493
564	17484	13461
565	17514	13429
566	17542	13396
567	17570	13363
568	17599	13331
569	17628	13298
570	17661	13269
571	17693	13239
572	17722	13206
573	17752	13174
574	17782	13143
575	17814	13113
576	17849	13085
577	17885	13058
578	17930	13037
579	17964	13008
580	18000	12981
581	18033	12952
582	18069	12924
583	18104	12896
584	18141	12869
585	18172	12838
586	18207	12810
587	18238	12779
588	18267	12746
589	18295	12713
590	18326	12682
591	18359	12653
592	18389	12621
593	18417	12588
594	18452	12560
595	18483	12529
