iter	Logloss
0	0.6928322862
1	0.692352677
2	0.6919465301
3	0.6915023683
4	0.6910030663
5	0.6904029145
6	0.6897588129
7	0.6897174985
8	0.6892352444
9	0.6888630877
10	0.6888159324
11	0.6882363568
12	0.6881345827
13	0.6877782296
14	0.6875024687
15	0.6874637369
16	0.6872197
17	0.6869326271
18	0.6863390316
19	0.6862498633
20	0.6860817743
21	0.6860784684
22	0.6859747906
23	0.6856643854
24	0.6853852672
25	0.6851552848
26	0.6851101737
27	0.6848025306
28	0.6844598071
29	0.6841246025
30	0.6839274738
31	0.6838824116
32	0.6836125068
33	0.6834567775
34	0.6833436227
35	0.6830682779
36	0.6829180155
37	0.6827582138
38	0.6824058939
39	0.6821351395
40	0.681822694
41	0.6815305678
42	0.6814100337
43	0.6812556249
44	0.6809667221
45	0.6806060826
46	0.6799969995
47	0.6796472248
48	0.6793867478
49	0.6790794303
50	0.6788009431
51	0.6784205447
52	0.6782528114
53	0.6780251433
54	0.6779259109
55	0.6779084213
56	0.6776501152
57	0.6776497987
58	0.6776058812
59	0.6773361086
60	0.6771537175
61	0.6768427944
62	0.6766129017
63	0.676374348
64	0.6763641318
65	0.6760704684
66	0.6760578054
67	0.6760087519
68	0.6756635299
69	0.6753121293
70	0.6752113654
71	0.6748893244
72	0.6747419037
73	0.6747341683
74	0.6742507965
75	0.6740307862
76	0.6740052396
77	0.6736969877
78	0.6736931759
79	0.6735019138
80	0.6732741818
81	0.672808921
82	0.6727654848
83	0.6727371012
84	0.6724731552
85	0.6719951242
86	0.6718277383
87	0.6716611843
88	0.6715871642
89	0.6715869207
90	0.6715535919
91	0.6713343574
92	0.6713201638
93	0.6711489194
94	0.67089057
95	0.6708623703
96	0.6708581999
97	0.6707070991
98	0.6702307024
99	0.6699987828
100	0.6699169177
101	0.6695850971
102	0.669274857
103	0.6689004163
104	0.6685915289
105	0.6685533216
106	0.6682377771
107	0.6679702907
108	0.6675810144
109	0.6673818452
110	0.6672227095
111	0.667124291
112	0.6668948449
113	0.6667349187
114	0.6664749113
115	0.6660769013
116	0.6659698615
117	0.6656221978
118	0.6653957397
119	0.6652774837
120	0.6652413074
121	0.6651864859
122	0.6650533059
123	0.6648520934
124	0.6646841781
125	0.6645889572
126	0.6643134911
127	0.6641481522
128	0.6639502257
129	0.6637300907
130	0.6634042433
131	0.6632683731
132	0.6631794381
133	0.663024046
134	0.6628514363
135	0.6625112961
136	0.6622866464
137	0.6620968535
138	0.661934874
139	0.6617959732
140	0.661721267
141	0.6615002688
142	0.6614608751
143	0.6613768312
144	0.6609684984
145	0.6606344714
146	0.6606232901
147	0.6604632341
148	0.6603195884
149	0.6602504939
150	0.6598433019
151	0.6595756776
152	0.6593149046
153	0.659015423
154	0.658828759
155	0.658605013
156	0.6584543936
157	0.6582549509
158	0.6582442603
159	0.6580112032
160	0.6578076689
161	0.657617382
162	0.6573915144
163	0.6573140526
164	0.6571923618
165	0.6570028761
166	0.656802648
167	0.6565066116
168	0.6562020594
169	0.6560725087
170	0.6558414248
171	0.6558414248
172	0.6557678096
173	0.6557678096
174	0.6553629666
175	0.6553536627
176	0.6551821801
177	0.6549470669
178	0.6547565139
179	0.654626791
180	0.6546039707
181	0.6544076922
182	0.6541007147
183	0.6538278216
184	0.6534736698
185	0.653276762
186	0.6529342428
187	0.6526657834
188	0.6524843732
189	0.6521897467
190	0.6520873184
191	0.6519341551
192	0.6519172817
193	0.6519172816
194	0.6516370278
195	0.6514043525
196	0.6512990722
197	0.6512180494
198	0.6510345183
199	0.6508366751
200	0.6506283953
201	0.6505885625
202	0.6503200187
203	0.6499643867
204	0.6498492074
205	0.6495032395
206	0.6492447981
207	0.649052099
208	0.6486755358
209	0.6484216827
210	0.6483790192
211	0.6482479367
212	0.6482478456
213	0.6480666868
214	0.6478488155
215	0.6476714023
216	0.6473130702
217	0.6470441217
218	0.6469689709
219	0.6466058522
220	0.6464030983
221	0.6462176138
222	0.6461313206
223	0.6460232296
224	0.6458074623
225	0.6455303782
226	0.6454365496
227	0.645242643
228	0.6450011568
229	0.6449136227
230	0.644621462
231	0.6444779763
232	0.6443972121
233	0.6443972118
234	0.6441191446
235	0.6441129629
236	0.6438779701
237	0.6438729278
238	0.6435380803
239	0.6435370581
240	0.6433390625
241	0.6430373683
242	0.6427844814
243	0.642618919
244	0.6424767268
245	0.6422330367
246	0.6420524876
247	0.6418773073
248	0.6415902755
249	0.6414423349
250	0.6412871521
251	0.6410704937
252	0.6407014915
253	0.6405916418
254	0.6404547655
255	0.6403178525
256	0.6402166431
257	0.6400269909
258	0.6398136839
259	0.6395848476
260	0.6394527459
261	0.6390975887
262	0.6389982413
263	0.6388738813
264	0.6386643263
265	0.6385026977
266	0.6383712109
267	0.638133313
268	0.6378006603
269	0.6375985535
270	0.637136221
271	0.6367448059
272	0.6364736713
273	0.6362505933
274	0.6357667937
275	0.6355935553
276	0.6353260778
277	0.6350780035
278	0.6348822329
279	0.6347535389
280	0.6343995559
281	0.6342163823
282	0.6340245413
283	0.6339506207
284	0.6337035524
285	0.6334195562
286	0.6333741381
287	0.6331628118
288	0.6331536336
289	0.6330545555
290	0.6328914752
291	0.6325652107
292	0.6324160344
293	0.6320610039
294	0.6317504452
295	0.6314850945
296	0.6312646975
297	0.6311095486
298	0.6307987292
299	0.6306108302
300	0.6302589496
301	0.6299569202
302	0.6298006996
303	0.629442597
304	0.6291452448
305	0.6288911962
306	0.6286697062
307	0.6282849161
308	0.6279700729
309	0.6274953371
310	0.627169581
311	0.6270382918
312	0.626825503
313	0.6264780579
314	0.6262574421
315	0.6259295136
316	0.6258083227
317	0.6253845167
318	0.6249470591
319	0.6246380708
320	0.6244306392
321	0.6239830937
322	0.6238176935
323	0.6234954944
324	0.6234274725
325	0.6230829426
326	0.6228831084
327	0.622610663
328	0.6224238329
329	0.6222018393
330	0.6219265455
331	0.6215395875
332	0.6212529866
333	0.6209501744
334	0.6206519809
335	0.620246168
336	0.6200402307
337	0.6197234065
338	0.6193527839
339	0.618850454
340	0.6185193953
341	0.6182402719
342	0.6177904549
343	0.6174616005
344	0.6171400886
345	0.6167576995
346	0.6165129154
347	0.6162503183
348	0.6159867528
349	0.6157192584
350	0.6154472153
351	0.6152968474
352	0.6149892343
353	0.6147835553
354	0.6146178481
355	0.61428198
356	0.6140423781
357	0.6138524351
358	0.613555211
359	0.6132968904
360	0.6129791724
