iter	Passed	Remaining
0	27	27935
1	68	34020
2	112	37414
3	140	35025
4	179	35798
5	211	34963
6	240	34154
7	281	34866
8	317	34926
9	360	35641
10	403	36243
11	438	36067
12	472	35897
13	509	35877
14	544	35779
15	579	35644
16	611	35380
17	646	35247
18	679	35073
19	724	35501
20	767	35769
21	807	35893
22	824	35034
23	875	35610
24	931	36344
25	989	37050
26	1026	37007
27	1060	36810
28	1097	36759
29	1132	36631
30	1171	36607
31	1212	36672
32	1251	36660
33	1290	36653
34	1330	36692
35	1367	36622
36	1409	36682
37	1451	36739
38	1487	36665
39	1536	36865
40	1576	36876
41	1612	36786
42	1668	37136
43	1708	37128
44	1748	37104
45	1784	37008
46	1826	37044
47	1868	37067
48	1890	36697
49	1931	36707
50	1974	36741
51	2014	36718
52	2049	36617
53	2092	36662
54	2127	36550
55	2170	36592
56	2205	36486
57	2243	36443
58	2300	36685
59	2339	36654
60	2395	36869
61	2455	37147
62	2498	37160
63	2538	37129
64	2575	37051
65	2614	36998
66	2723	37919
67	2815	38582
68	2884	38924
69	2964	39389
70	3019	39513
71	3099	39948
72	3167	40217
73	3234	40476
74	3274	40381
75	3325	40431
76	3405	40820
77	3423	40462
78	3487	40659
79	3556	40895
80	3602	40870
81	3641	40772
82	3696	40838
83	3731	40692
84	3806	40975
85	3875	41186
86	3912	41059
87	3952	40958
88	4004	40994
89	4083	41284
90	4130	41257
91	4198	41435
92	4260	41554
93	4332	41760
94	4360	41538
95	4396	41402
96	4484	41746
97	4597	42314
98	4670	42505
99	4692	42234
100	4736	42156
101	4789	42165
102	4841	42163
103	4910	42308
104	4985	42496
105	5050	42592
106	5095	42525
107	5163	42644
108	5228	42742
109	5294	42836
110	5351	42861
111	5406	42862
112	5468	42928
113	5533	43004
114	5594	43051
115	5629	42898
116	5675	42831
117	5694	42567
118	5741	42509
119	5793	42484
120	5950	43224
121	5989	43101
122	6026	42968
123	6065	42850
124	6089	42629
125	6127	42505
126	6167	42393
127	6203	42263
128	6242	42148
129	6279	42025
