iter	Logloss
0	0.6928941608
1	0.6926266162
2	0.6924275776
3	0.6922960427
4	0.6920442404
5	0.6916361759
6	0.6912599844
7	0.691050003
8	0.6909863511
9	0.6906202165
10	0.6904607442
11	0.690281029
12	0.6899749378
13	0.6897318089
14	0.6893258682
15	0.6891618138
16	0.6886272547
17	0.6884401496
18	0.6883072939
19	0.6880720711
20	0.6877943212
21	0.6873078879
22	0.6873007502
23	0.6870829437
24	0.686765366
25	0.6862759375
26	0.6858430711
27	0.685729614
28	0.6855528405
29	0.6852276943
30	0.6850079924
31	0.6848670464
32	0.6846148737
33	0.6844499121
34	0.6840870432
35	0.6837318234
36	0.6833345678
37	0.6830747158
38	0.6829241966
39	0.6824886418
40	0.6820932362
41	0.6820530434
42	0.6818572424
43	0.6814982553
44	0.6812107611
45	0.6810134346
46	0.6807724809
47	0.680677594
48	0.6806707131
49	0.680529205
50	0.6801584533
51	0.6799316934
52	0.6797392089
53	0.6796059403
54	0.679290114
55	0.6791183825
56	0.6786719107
57	0.6785568199
58	0.678407389
59	0.6782700103
60	0.6780825138
61	0.6777235474
62	0.6774618917
63	0.6773190974
64	0.6769297925
65	0.6768132193
66	0.6765839034
67	0.6762590488
68	0.6759583154
69	0.6756346363
70	0.6756190355
71	0.6753812624
72	0.6752676306
73	0.6750586712
74	0.675031063
75	0.6750019175
76	0.674607908
77	0.6746079031
78	0.6743059372
79	0.6740674067
80	0.6738875853
81	0.6736218864
82	0.6733649874
83	0.6733617605
84	0.672933847
85	0.6724939608
86	0.6724194782
87	0.672417888
88	0.6722364487
89	0.6718112364
90	0.6717192161
91	0.6714763853
92	0.671337344
93	0.6710460138
94	0.6710460066
95	0.6710459811
96	0.6708964029
97	0.6704656193
98	0.670329641
99	0.6702988796
100	0.6699167518
101	0.6695174668
102	0.6694166783
103	0.6692796937
104	0.6689585035
105	0.6686910268
106	0.668609596
107	0.6684013706
108	0.6681987478
109	0.668067631
110	0.6678894561
111	0.6676114409
112	0.667352723
113	0.6671574462
114	0.6668344948
115	0.6667790994
116	0.6665755899
117	0.6665420584
118	0.666227187
119	0.6659031892
120	0.6656236064
121	0.665540669
122	0.6653544478
123	0.6651169018
124	0.6651084178
125	0.664841458
126	0.6646699874
127	0.6644804024
128	0.6643119926
129	0.6642199001
130	0.6642066696
131	0.6640921768
132	0.6638566517
133	0.6635143055
134	0.6633467272
135	0.663063441
136	0.6628187778
137	0.6625801045
138	0.6623897916
139	0.6622748594
140	0.6622477466
141	0.661989158
142	0.6619891579
143	0.6616593921
144	0.6613436454
145	0.660985276
146	0.6606920828
147	0.6606848488
148	0.6605715456
149	0.6604424149
150	0.6600589055
151	0.6600059177
152	0.6599152662
153	0.6595109013
154	0.6593846875
155	0.6592350689
156	0.6590356508
157	0.6589326354
158	0.6589326354
159	0.6588025025
160	0.6584155154
161	0.658300935
162	0.6581043472
163	0.657779871
164	0.657575506
165	0.6573563783
166	0.6571076225
167	0.6568093852
168	0.6565397239
169	0.6563624658
170	0.6562120124
171	0.6558510326
172	0.6556253406
173	0.6553748834
174	0.6549766074
175	0.6549679521
176	0.6548865814
177	0.6548757892
178	0.6547497281
179	0.6544211516
180	0.6543244045
181	0.6542136364
182	0.654034364
183	0.6539492583
184	0.6536632329
185	0.653141161
186	0.6528732651
187	0.6528149052
188	0.6525286855
189	0.6523809459
190	0.6521930219
191	0.6520435103
192	0.6519063793
193	0.6518814458
194	0.6516354217
195	0.6514105864
196	0.6511628799
197	0.6508761593
198	0.650678032
199	0.6504550564
200	0.6504320025
201	0.6501800897
202	0.6498499544
203	0.6494864745
204	0.6493102539
205	0.6489357346
206	0.6487748284
207	0.6484718445
208	0.6481618989
209	0.6480217801
210	0.6477883421
211	0.6476532479
212	0.6473717338
213	0.6471624871
214	0.6470777698
215	0.6469454877
216	0.6468109415
217	0.6466603949
218	0.6464712138
219	0.6464685132
220	0.6462532631
221	0.646253263
222	0.6461976563
223	0.6459516786
224	0.645836615
225	0.645694786
226	0.6454522279
227	0.6453874242
228	0.6452768643
229	0.6451269873
230	0.6449160705
231	0.6449160705
232	0.644601173
233	0.6444198684
234	0.6443905529
235	0.644203467
236	0.6438932753
237	0.6436670263
238	0.6434309553
239	0.6431437138
240	0.6428902188
241	0.6427745382
242	0.6425680709
243	0.6424192993
244	0.6423319057
245	0.6420339437
246	0.64203364
247	0.6419105765
248	0.6418032691
249	0.6414829888
250	0.6412547081
251	0.6411296748
252	0.6407860304
253	0.6406319645
254	0.6405256964
255	0.6402967179
256	0.640020258
257	0.6397733268
258	0.6396167466
259	0.6394653302
260	0.6393107222
261	0.6391170404
262	0.6386874831
263	0.6384660715
264	0.6382926169
265	0.6381079449
266	0.6377085063
267	0.6373857878
268	0.6369543201
269	0.6367564322
270	0.636676615
271	0.6364223373
272	0.6362811143
273	0.636281114
274	0.6360450404
275	0.6357287845
276	0.6356277353
277	0.6354440241
278	0.6353401435
279	0.6350319149
280	0.6346793396
281	0.6345505928
282	0.634211815
283	0.6339558914
284	0.6338131251
285	0.6333769829
286	0.6331072359
287	0.632762277
288	0.6324727265
289	0.6324183438
290	0.6322371538
291	0.6319169342
292	0.631913724
293	0.6316822602
294	0.6314798933
295	0.6313488662
296	0.6308706281
297	0.6306001259
298	0.6303449318
299	0.6301080396
300	0.6297752991
301	0.6295053402
302	0.6291445868
303	0.6290034105
304	0.6285340557
305	0.6281582242
306	0.6276731355
307	0.6275573777
308	0.6272222853
309	0.6269409388
310	0.6266465887
311	0.6262327093
312	0.6259037662
313	0.6256563338
314	0.6254344848
315	0.62516839
316	0.6249547242
317	0.6246395827
318	0.6243289913
319	0.6241831891
320	0.6241066968
321	0.6238548432
322	0.6236480697
323	0.6232782524
324	0.6229874273
325	0.6228444776
326	0.6225481703
327	0.622025986
328	0.6217069861
329	0.6212743566
330	0.6209490642
