iter	Passed	Remaining
0	28	28295
1	62	31268
2	94	31357
3	125	31334
4	161	32235
5	196	32564
6	231	32794
7	263	32669
8	301	33152
9	336	33362
10	370	33280
11	400	32988
12	433	32886
13	469	33038
14	503	33037
15	538	33107
16	567	32788
17	596	32547
18	631	32585
19	661	32410
20	691	32235
21	720	32048
22	734	31194
23	768	31252
24	802	31305
25	836	31349
26	870	31366
27	901	31294
28	934	31277
29	965	31225
30	1000	31276
31	1029	31133
32	1060	31085
33	1092	31026
34	1126	31060
35	1160	31064
36	1195	31121
37	1229	31127
38	1265	31172
39	1300	31211
40	1334	31213
41	1372	31297
42	1407	31324
43	1441	31311
44	1475	31303
45	1505	31214
46	1538	31205
47	1569	31126
48	1601	31081
49	1619	30778
50	1651	30730
51	1685	30722
52	1721	30765
53	1761	30850
54	1791	30785
55	1820	30692
56	1853	30657
57	1890	30711
58	1925	30709
59	1959	30704
60	1996	30735
61	2033	30762
62	2065	30719
63	2081	30441
64	2100	30219
65	2134	30199
66	2171	30234
67	2197	30113
68	2230	30095
69	2265	30092
70	2307	30198
71	2345	30231
72	2380	30235
73	2415	30220
74	2460	30350
75	2493	30310
76	2535	30388
77	2573	30420
78	2607	30396
79	2641	30378
80	2675	30354
81	2718	30430
82	2762	30524
83	2798	30521
84	2835	30522
85	2869	30499
86	2909	30530
87	2946	30532
88	2979	30498
89	3016	30495
90	3055	30524
91	3083	30428
92	3115	30385
93	3152	30383
94	3191	30398
95	3229	30408
96	3273	30476
97	3321	30567
98	3368	30656
99	3411	30700
100	3448	30691
101	3491	30737
102	3529	30740
103	3576	30808
104	3632	30961
105	3684	31072
106	3737	31193
107	3788	31292
108	3845	31435
109	3875	31352
110	3898	31226
111	3953	31347
112	4006	31450
113	4054	31510
114	4096	31526
115	4140	31550
116	4182	31563
117	4224	31574
118	4272	31628
119	4321	31691
120	4371	31757
121	4427	31862
122	4471	31882
123	4513	31888
124	4558	31909
125	4602	31928
126	4642	31913
127	4680	31886
128	4719	31863
129	4761	31863
130	4808	31898
131	4844	31855
132	4878	31801
133	4919	31792
134	4952	31733
135	4986	31679
136	5019	31621
137	5056	31584
138	5093	31549
139	5128	31501
140	5166	31478
141	5206	31458
142	5245	31434
143	5287	31430
144	5328	31419
145	5371	31421
146	5407	31376
147	5447	31359
148	5483	31319
149	5524	31304
150	5556	31243
151	5589	31184
152	5628	31158
153	5667	31133
154	5700	31079
155	5736	31038
156	5774	31007
157	5808	30953
158	5832	30850
159	5852	30723
160	5887	30680
161	5927	30660
162	5964	30629
163	5998	30577
164	6029	30514
165	6064	30470
166	6100	30428
167	6140	30408
168	6178	30379
169	6214	30339
170	6247	30286
171	6295	30307
172	6330	30263
173	6352	30157
174	6393	30142
175	6427	30092
176	6465	30063
177	6479	29923
